TransactionID,AccountID,Type,Category,Subcategory,Amount,Date,Status,InvoiceNumber,InvestmentID
T4278,1,Expense,Transport,Transport,142.58016,20/01/2023,Cancelled,NULL,NULL
T7530,1,Income,Salary,Salary,1488.006,20/01/2023,Pending,NULL,NULL
T2810,1,Income,Bonus,Bonus,1111.59,20/01/2023,Pending,NULL,NULL
T6475,2,Expense,Transport,Transport,77.36616,20/01/2023,Pending,INV-2745,NULL
T3248,1,Expense,Transport,Transport,14.18508,20/01/2023,Completed,INV-4147,NULL
T9111,2,Expense,Transport,Transport,132.91884,21/01/2023,Cancelled,INV-3299,NULL
T8527,2,Expense,Taxes,Taxes,57.09348,21/01/2023,Pending,NULL,NULL
T5989,1,Expense,Taxes,Taxes,103.53852,21/01/2023,Pending,NULL,NULL
T2569,1,Expense,Taxes,Taxes,69.68124,21/01/2023,Pending,NULL,NULL
T2858,1,Income,Salary,Salary,2912.508,21/01/2023,Pending,NULL,NULL
T1354,1,Expense,Taxes,Taxes,125.79768,21/01/2023,Cancelled,NULL,NULL
T4852,1,Expense,Food and Drink,Food and Drink,135.73188,21/01/2023,Completed,NULL,NULL
T1745,2,Income,Salary,Salary,8973.072,22/01/2023,Pending,NULL,NULL
T8632,2,Income,Bonus,Bonus,8916.534,22/01/2023,Completed,NULL,NULL
T5886,2,Expense,Utilities,Utilities,116.02728,22/01/2023,Completed,INV-6364,NULL
T9052,2,Income,Bonus,Bonus,555.084,22/01/2023,Cancelled,NULL,NULL
T1506,2,Expense,Food and Drink,Food and Drink,58.0536,23/01/2023,Pending,NULL,NULL
T6843,2,Income,Salary,Salary,3248.244,23/01/2023,Pending,NULL,NULL
T5179,2,Income,Freelance,Freelance,7883.712,23/01/2023,Completed,NULL,NULL
T4725,1,Expense,Rent,Rent,303.0264,23/01/2023,Pending,NULL,NULL
T1134,2,Expense,Sending Money to Family,Sending Money to Family,164.2464,23/01/2023,Cancelled,NULL,NULL
T4221,2,Expense,Restaurant,Restaurant,167.45328,24/01/2023,Cancelled,NULL,NULL
T9988,1,Income,Salary,Salary,7949.79,24/01/2023,Completed,NULL,NULL
T3301,1,Expense,Utilities,Utilities,163.143,24/01/2023,Cancelled,INV-1048,NULL
T3145,1,Expense,Personal Care,Personal Care,80.45352,25/01/2023,Completed,INV-3284,NULL
T6659,2,Expense,Transport,Transport,36.23508,25/01/2023,Cancelled,NULL,NULL
T7009,2,Expense,Groceries,Groceries,47.0178,26/01/2023,Completed,INV-3980,NULL
T9575,2,Expense,Transport,Transport,169.2486,26/01/2023,Pending,NULL,NULL
T6987,2,Income,Salary,Salary,2182.986,26/01/2023,Completed,NULL,NULL
T2148,2,Expense,Sending Money to Family,Sending Money to Family,167.97672,26/01/2023,Completed,NULL,NULL
T4102,1,Expense,Utilities,Utilities,120.25548,26/01/2023,Pending,NULL,NULL
T1158,2,Expense,Sending Money to Family,Sending Money to Family,95.83236,27/01/2023,Completed,NULL,NULL
T9699,2,Expense,Restaurant,Restaurant,315.35136,27/01/2023,Completed,NULL,NULL
T5366,2,Income,Freelance,Freelance,891.342,27/01/2023,Completed,NULL,NULL
T3134,2,Income,Salary,Salary,4383.288,27/01/2023,Completed,NULL,NULL
T2616,1,Income,Freelance,Freelance,8268.228,27/01/2023,Pending,NULL,NULL
T7906,1,Expense,Restaurant,Restaurant,56.03544,27/01/2023,Cancelled,INV-5810,NULL
T8766,1,Expense,Food and Drink,Food and Drink,49.83192,28/01/2023,Pending,INV-2854,NULL
T8020,2,Expense,Rent,Rent,276.12792,28/01/2023,Completed,NULL,NULL
T7177,1,Expense,Groceries,Groceries,71.20656,29/01/2023,Cancelled,NULL,NULL
T1912,1,Expense,Restaurant,Restaurant,93.384,29/01/2023,Completed,NULL,NULL
T4214,2,Income,Freelance,Freelance,188.928,29/01/2023,Cancelled,NULL,NULL
T7658,1,Expense,Sending Money to Family,Sending Money to Family,89.62236,29/01/2023,Completed,INV-6832,NULL
T8617,2,Income,Freelance,Freelance,6621.696,30/01/2023,Pending,NULL,NULL
T2687,2,Income,Bonus,Bonus,1681.398,30/01/2023,Completed,NULL,NULL
T8847,1,Expense,Utilities,Utilities,167.01948,30/01/2023,Completed,NULL,NULL
T4484,1,Income,Salary,Salary,6765.246,30/01/2023,Completed,NULL,NULL
T1497,2,Expense,Entertainment,Amazon,20.11608,30/01/2023,Completed,NULL,NULL
T2466,2,Expense,Groceries,Groceries,92.73204,30/01/2023,Cancelled,NULL,NULL
T6244,2,Income,Salary,Salary,7060.446,31/01/2023,Cancelled,NULL,NULL
T4082,2,Income,Bonus,Bonus,871.146,31/01/2023,Completed,NULL,NULL
T9702,2,Income,Salary,Salary,8715.798,31/01/2023,Cancelled,NULL,NULL
T3733,1,Expense,Utilities,Utilities,118.07856,31/01/2023,Pending,INV-3333,NULL
T5724,1,Expense,Rent,Rent,110.22048,31/01/2023,Cancelled,NULL,NULL
T9377,1,Expense,Rent,Rent,29.81592,31/01/2023,Cancelled,NULL,NULL
T9644,1,Expense,Utilities,Utilities,136.77876,31/01/2023,Pending,NULL,NULL
T9658,2,Expense,Rent,Rent,61.85592,31/01/2023,Completed,NULL,NULL
T7106,1,Income,Freelance,Freelance,4936.752,31/01/2023,Completed,NULL,NULL
T9919,2,Expense,Personal Care,Personal Care,1181.1104,1/2/2023,Cancelled,INV-5608,NULL
T2392,1,Expense,Rent,Rent,2167.2384,1/2/2023,Completed,NULL,NULL
T9044,2,Expense,Taxes,Taxes,1507.0752,1/2/2023,Cancelled,NULL,NULL
T6262,1,Expense,Rent,Rent,78.0352,1/2/2023,Completed,NULL,NULL
T5655,1,Expense,Utilities,Utilities,957.2704,1/2/2023,Cancelled,NULL,NULL
T8305,1,Expense,Restaurant,Restaurant,2747.1744,2/2/2023,Pending,NULL,NULL
T5590,2,Expense,Rent,Rent,567.2448,2/2/2023,Completed,NULL,NULL
T6749,2,Income,Bonus,Bonus,3004.848,2/2/2023,Cancelled,NULL,NULL
T5426,2,Income,Bonus,Bonus,6012.09,3/2/2023,Completed,NULL,NULL
T8493,1,Expense,Personal Care,Personal Care,69.4592,4/2/2023,Completed,INV-4029,NULL
T4286,2,Income,Salary,Salary,4485.384,4/2/2023,Pending,NULL,NULL
T1447,2,Expense,Entertainment,Adobe,394.2528,4/2/2023,Completed,INV-4945,NULL
T3598,1,Expense,Food and Drink,Food and Drink,42.2528,4/2/2023,Cancelled,INV-9299,NULL
T9664,1,Expense,Utilities,Utilities,1391.9104,4/2/2023,Cancelled,NULL,NULL
T2789,1,Expense,Restaurant,Restaurant,549.9904,4/2/2023,Cancelled,INV-2856,NULL
T3646,1,Expense,Rent,Rent,161.8304,4/2/2023,Pending,NULL,NULL
T3452,2,Expense,Entertainment,Investment,18003.168,6/2/2023,Cancelled,INV-2976,R0007
T6347,1,Expense,Rent,Rent,524.0832,6/2/2023,Pending,NULL,NULL
T1686,2,Expense,Groceries,Groceries,928.8576,6/2/2023,Completed,INV-8754,NULL
T2078,2,Expense,Food and Drink,Food and Drink,381.328,6/2/2023,Completed,INV-6906,NULL
T3912,1,Expense,Utilities,Utilities,508.128,6/2/2023,Completed,INV-3887,NULL
T1951,1,Income,Bonus,Bonus,4362.642,7/2/2023,Pending,NULL,NULL
T6829,1,Income,Salary,Salary,6435.756,7/2/2023,Pending,NULL,NULL
T6707,2,Expense,Transport,Transport,1242.7424,7/2/2023,Pending,INV-1870,NULL
T7536,2,Income,Salary,Salary,4034.988,7/2/2023,Pending,NULL,NULL
T1025,2,Expense,Utilities,Utilities,821.1808,7/2/2023,Completed,NULL,NULL
T9663,2,Expense,Food and Drink,Food and Drink,1435.8336,8/2/2023,Completed,NULL,NULL
T8565,1,Expense,Rent,Rent,776.2816,8/2/2023,Pending,NULL,NULL
T2794,1,Expense,Rent,Rent,1566.7136,8/2/2023,Cancelled,NULL,NULL
T3639,2,Expense,Rent,Rent,1938.2336,8/2/2023,Pending,NULL,NULL
T3434,2,Expense,Restaurant,Restaurant,2597.6256,8/2/2023,Pending,NULL,NULL
T8302,1,Income,Bonus,Bonus,5344.002,8/2/2023,Completed,NULL,NULL
T7185,2,Expense,Utilities,Utilities,829.0432,8/2/2023,Completed,INV-8965,NULL
T2901,2,Expense,Utilities,Utilities,734.7616,8/2/2023,Completed,NULL,NULL
T8380,1,Expense,Taxes,Taxes,202.8704,8/2/2023,Cancelled,NULL,NULL
T2925,2,Expense,Sending Money to Family,Sending Money to Family,1173.216,8/2/2023,Pending,INV-6649,NULL
T5809,2,Expense,Entertainment,Amazon,1422.0736,8/2/2023,Cancelled,INV-9246,NULL
T3599,1,Expense,Restaurant,Restaurant,1092.1952,8/2/2023,Cancelled,INV-5676,NULL
T3940,2,Expense,Utilities,Utilities,796.8768,9/2/2023,Completed,NULL,NULL
T8316,2,Expense,Utilities,Utilities,553.456,9/2/2023,Completed,NULL,NULL
T1663,2,Expense,Sending Money to Family,Sending Money to Family,837.3216,9/2/2023,Completed,INV-1841,NULL
T9417,1,Income,Freelance,Freelance,4522.59,9/2/2023,Completed,NULL,NULL
T4697,2,Income,Bonus,Bonus,3143.556,10/2/2023,Completed,NULL,NULL
T3809,1,Income,Bonus,Bonus,4631.472,10/2/2023,Pending,NULL,NULL
T9893,1,Income,Salary,Salary,6320.862,10/2/2023,Cancelled,NULL,NULL
T6829,1,Expense,Rent,Rent,2417.2928,10/2/2023,Completed,NULL,NULL
T3977,1,Expense,Taxes,Taxes,1288.2176,10/2/2023,Cancelled,NULL,NULL
T5776,1,Expense,Food and Drink,Food and Drink,144.3584,10/2/2023,Cancelled,INV-3091,NULL
T8479,1,Income,Salary,Salary,517.212,11/2/2023,Cancelled,NULL,NULL
T3199,2,Expense,Restaurant,Restaurant,2061.5616,11/2/2023,Cancelled,NULL,NULL
T4350,1,Expense,Personal Care,Personal Care,748.688,11/2/2023,Cancelled,INV-7829,NULL
T2080,2,Expense,Taxes,Taxes,121.9552,11/2/2023,Pending,INV-8569,NULL
T7034,1,Income,Freelance,Freelance,7088.832,11/2/2023,Pending,NULL,NULL
T1925,1,Expense,Restaurant,Restaurant,407.1936,12/2/2023,Cancelled,NULL,NULL
T8292,2,Income,Freelance,Freelance,4995.504,12/2/2023,Cancelled,NULL,NULL
T7812,1,Expense,Sending Money to Family,Sending Money to Family,854.6496,12/2/2023,Completed,NULL,NULL
T2024,1,Expense,Rent,Rent,212.93496,13/02/2023,Cancelled,NULL,NULL
T8060,2,Expense,Transport,Transport,12.3516,13/02/2023,Pending,INV-6074,NULL
T1414,2,Expense,Rent,Rent,343.21464,13/02/2023,Cancelled,NULL,NULL
T8864,1,Expense,Personal Care,Personal Care,114.8022,13/02/2023,Pending,INV-9298,NULL
T1207,2,Expense,Restaurant,Restaurant,114.97248,13/02/2023,Completed,NULL,NULL
T6253,1,Expense,Restaurant,Restaurant,7.81992,13/02/2023,Pending,NULL,NULL
T7193,2,Expense,Utilities,Utilities,41.0652,13/02/2023,Cancelled,INV-6585,NULL
T6602,1,Expense,Transport,Transport,73.7244,14/02/2023,Cancelled,INV-6944,NULL
T6120,2,Expense,Entertainment,Sports,165.9852,15/02/2023,Completed,INV-2750,NULL
T9920,1,Expense,Food and Drink,Food and Drink,147.26988,15/02/2023,Cancelled,NULL,NULL
T6779,1,Expense,Personal Care,Personal Care,100.4418,15/02/2023,Completed,NULL,NULL
T4836,1,Income,Bonus,Bonus,8879.814,15/02/2023,Completed,NULL,NULL
T5316,2,Expense,Transport,Transport,89.96832,15/02/2023,Completed,NULL,NULL
T3141,1,Expense,Groceries,Groceries,44.52048,15/02/2023,Cancelled,NULL,NULL
T8004,1,Income,Salary,Salary,4741.902,16/02/2023,Pending,NULL,NULL
T4903,1,Expense,Restaurant,Restaurant,52.21872,16/02/2023,Completed,NULL,NULL
T5719,1,Expense,Taxes,Taxes,55.37124,16/02/2023,Pending,NULL,NULL
T4535,2,Expense,Personal Care,Personal Care,108.30348,17/02/2023,Completed,NULL,NULL
T8443,2,Income,Freelance,Freelance,5572.386,17/02/2023,Cancelled,NULL,NULL
T7941,2,Expense,Personal Care,Personal Care,107.52012,17/02/2023,Completed,NULL,NULL
T4131,1,Income,Salary,Salary,8039.61,17/02/2023,Pending,NULL,NULL
T4107,2,Income,Salary,Salary,2660.94,17/02/2023,Completed,NULL,NULL
T5473,1,Expense,Personal Care,Personal Care,154.67076,18/02/2023,Completed,INV-3913,NULL
T2924,1,Expense,Taxes,Taxes,88.33752,18/02/2023,Pending,NULL,NULL
T9631,2,Income,Salary,Salary,3088.188,18/02/2023,Completed,NULL,NULL
T3598,2,Income,Salary,Salary,3684.942,18/02/2023,Cancelled,NULL,NULL
T6623,2,Expense,Food and Drink,Food and Drink,40.5576,18/02/2023,Cancelled,INV-1157,NULL
T7664,1,Expense,Groceries,Groceries,69.9948,18/02/2023,Cancelled,NULL,NULL
T4095,1,Expense,Personal Care,Personal Care,29.58228,18/02/2023,Completed,NULL,NULL
T7306,1,Expense,Food and Drink,Food and Drink,32.13648,19/02/2023,Cancelled,INV-2969,NULL
T1940,2,Expense,Rent,Rent,347.43312,19/02/2023,Cancelled,NULL,NULL
T9817,1,Income,Freelance,Freelance,5211.738,19/02/2023,Cancelled,NULL,NULL
T6013,2,Expense,Personal Care,Personal Care,119.51712,19/02/2023,Pending,INV-5914,NULL
T9573,2,Expense,Transport,Transport,103.1904,19/02/2023,Cancelled,NULL,NULL
T2695,2,Income,Freelance,Freelance,7996.932,20/02/2023,Cancelled,NULL,NULL
T3268,2,Expense,Entertainment,Amazon,176.18076,20/02/2023,Cancelled,INV-6149,NULL
T1081,2,Expense,Food and Drink,Food and Drink,53.3772,20/02/2023,Pending,NULL,NULL
T8688,1,Expense,Sending Money to Family,Sending Money to Family,48.11868,20/02/2023,Completed,INV-5462,NULL
T1790,1,Expense,Personal Care,Personal Care,38.12508,20/02/2023,Cancelled,NULL,NULL
T5741,1,Income,Bonus,Bonus,6435,20/02/2023,Completed,NULL,NULL
T3276,1,Expense,Utilities,Utilities,154.96092,20/02/2023,Cancelled,NULL,NULL
T7879,2,Expense,Restaurant,Restaurant,23.28048,21/02/2023,Pending,NULL,NULL
T1959,2,Expense,Entertainment,Microsoft,95.57208,21/02/2023,Cancelled,INV-2307,NULL
T3207,2,Expense,Groceries,Groceries,172.94544,21/02/2023,Pending,INV-8048,NULL
T3704,2,Expense,Personal Care,Personal Care,16.75836,21/02/2023,Pending,NULL,NULL
T1823,1,Expense,Food and Drink,Food and Drink,52.47144,22/02/2023,Cancelled,INV-4329,NULL
T9745,2,Expense,Food and Drink,Food and Drink,80.46504,22/02/2023,Cancelled,INV-1870,NULL
T8239,1,Expense,Transport,Transport,44.86356,22/02/2023,Pending,INV-1386,NULL
T5673,2,Expense,Rent,Rent,295.88256,22/02/2023,Cancelled,NULL,NULL
T9391,2,Income,Freelance,Freelance,5447.844,22/02/2023,Pending,NULL,NULL
T3740,2,Income,Salary,Salary,3645.396,22/02/2023,Completed,NULL,NULL
T1641,1,Expense,Utilities,Utilities,48.41172,23/02/2023,Cancelled,NULL,NULL
T5821,1,Income,Freelance,Freelance,1931.04,23/02/2023,Cancelled,NULL,NULL
T5434,2,Expense,Utilities,Utilities,44.91072,24/02/2023,Pending,INV-4946,NULL
T1568,2,Expense,Restaurant,Restaurant,171.1548,25/02/2023,Pending,NULL,NULL
T4953,1,Income,Salary,Salary,3065.778,25/02/2023,Completed,NULL,NULL
T5304,2,Expense,Sending Money to Family,Sending Money to Family,80.02044,25/02/2023,Completed,NULL,NULL
T3324,2,Expense,Utilities,Utilities,6.76908,25/02/2023,Completed,INV-9876,NULL
T3504,2,Income,Bonus,Bonus,465.012,25/02/2023,Cancelled,NULL,NULL
T9035,2,Expense,Entertainment,Investment,1515.3912,25/02/2023,Pending,NULL,R0007
T4642,1,Expense,Restaurant,Restaurant,351.594,25/02/2023,Cancelled,NULL,NULL
T5373,1,Income,Salary,Salary,6801.678,25/02/2023,Pending,NULL,NULL
T7791,2,Expense,Restaurant,Restaurant,173.50704,26/02/2023,Cancelled,NULL,NULL
T7323,2,Expense,Utilities,Utilities,163.6614,26/02/2023,Completed,INV-9234,NULL
T6844,2,Income,Freelance,Freelance,320.4,26/02/2023,Pending,NULL,NULL
T5393,2,Expense,Rent,Rent,297.80352,27/02/2023,Pending,NULL,NULL
T4502,1,Expense,Restaurant,Restaurant,193.90032,27/02/2023,Completed,NULL,NULL
T7709,2,Income,Freelance,Freelance,3776.76,27/02/2023,Completed,NULL,NULL
T3446,2,Expense,Groceries,Groceries,42.78168,27/02/2023,Completed,INV-5130,NULL
T8169,2,Expense,Rent,Rent,262.17576,27/02/2023,Completed,NULL,NULL
T8293,1,Expense,Rent,Rent,111.66984,27/02/2023,Cancelled,NULL,NULL
T4176,1,Expense,Food and Drink,Food and Drink,22.33548,27/02/2023,Cancelled,INV-2536,NULL
T3560,1,Expense,Transport,Transport,22.73292,28/02/2023,Completed,INV-9829,NULL
T4145,2,Income,Salary,Salary,8591.994,28/02/2023,Completed,NULL,NULL
T7904,1,Income,Bonus,Bonus,4985.334,1/3/2023,Cancelled,NULL,NULL
T3163,2,Income,Bonus,Bonus,8724.024,1/3/2023,Pending,NULL,NULL
T3162,2,Expense,Groceries,Groceries,83.7376,1/3/2023,Cancelled,INV-1755,NULL
T1969,1,Expense,Restaurant,Restaurant,2295.6416,1/3/2023,Completed,NULL,NULL
T3536,2,Expense,Entertainment,Spotify,737.0464,1/3/2023,Completed,INV-5458,NULL
T8901,1,Income,Salary,Salary,6444.378,1/3/2023,Completed,NULL,NULL
T5456,1,Income,Salary,Salary,7674.606,1/3/2023,Pending,NULL,NULL
T9051,2,Expense,Groceries,Groceries,1081.1712,1/3/2023,Completed,INV-3488,NULL
T1371,2,Expense,Rent,Rent,2844.4672,2/3/2023,Pending,NULL,NULL
T9383,1,Expense,Taxes,Taxes,21.1456,2/3/2023,Pending,NULL,NULL
T5503,2,Expense,Entertainment,Amazon,144.9024,2/3/2023,Cancelled,INV-1147,NULL
T5555,1,Expense,Transport,Transport,1128.0096,2/3/2023,Pending,INV-9894,NULL
T5139,2,Expense,Entertainment,Amazon,845.6896,2/3/2023,Completed,NULL,NULL
T2541,1,Income,Freelance,Freelance,1058.796,3/3/2023,Pending,NULL,NULL
T3201,1,Expense,Entertainment,Amazon,974.3488,3/3/2023,Cancelled,INV-6561,NULL
T4627,1,Expense,Restaurant,Restaurant,1006.912,3/3/2023,Completed,NULL,NULL
T7704,2,Income,Bonus,Bonus,2063.502,3/3/2023,Pending,NULL,NULL
T4415,1,Income,Salary,Salary,4190.67,3/3/2023,Pending,NULL,NULL
T7260,2,Income,Bonus,Bonus,3058.938,3/3/2023,Pending,NULL,NULL
T8759,1,Expense,Transport,Transport,35.7824,3/3/2023,Completed,INV-6163,NULL
T6002,1,Income,Bonus,Bonus,8138.07,4/3/2023,Cancelled,NULL,NULL
T7000,2,Income,Salary,Salary,1563.786,4/3/2023,Cancelled,NULL,NULL
T8474,1,Expense,Rent,Rent,203.8784,5/3/2023,Cancelled,NULL,NULL
T4671,1,Expense,Transport,Transport,1171.8976,5/3/2023,Completed,INV-2157,NULL
T7152,2,Income,Salary,Salary,2166.318,6/3/2023,Pending,NULL,NULL
T8375,2,Expense,Personal Care,Personal Care,612.336,6/3/2023,Completed,NULL,NULL
T1964,1,Expense,Restaurant,Restaurant,3125.8496,6/3/2023,Completed,NULL,NULL
T6131,1,Expense,Rent,Rent,1727.296,6/3/2023,Pending,NULL,NULL
T1405,2,Expense,Rent,Rent,1506.0736,6/3/2023,Cancelled,NULL,NULL
T4011,1,Expense,Rent,Rent,1767.7632,6/3/2023,Cancelled,NULL,NULL
T1852,2,Income,Bonus,Bonus,7699.68,6/3/2023,Cancelled,NULL,NULL
T4292,1,Income,Salary,Salary,4491.828,6/3/2023,Pending,NULL,NULL
T8364,2,Income,Bonus,Bonus,1307.862,6/3/2023,Cancelled,NULL,NULL
T1163,1,Income,Bonus,Bonus,7675.794,6/3/2023,Completed,NULL,NULL
